recipe_title,total_ingredients,missing_ingredients_count,missing_percentage,missing_ingredients_list
Best Sambar Recipe without Sambar Powder & Coconut Milk,20,4,20.0,"eggplant - 100g, mustard seeds - ½ teaspoon, thin tamarind juice - 200ml, water - as you want i used 2000ml"
Simple Vegetable Fried Noodles Recipe Without Soy Sauce,13,4,30.8,"cabbage - 100g, ginger paste - ½ teaspoon, noodles - 400g, soya meat - 30g optional"
Best Rava Kesari Recipe without Milk | Easy & Tasty Sweet,8,4,50.0,"ghee - 10 tablespoons, raisins - 50g, semolina/rava - 500g, water - 1250ml"
Whole Baby Squid Recipe | Spicy Baby Calamari Curry With Coconut,12,4,33.3,"baby squid/calamari - 250g, fenugreek seeds - ¼ teaspoon, ginger paste - ½ teaspoon, thin tamarind juice - 100ml"
Easy Chicken Stew with Potatoes Recipe | Spicy | Healthy,17,4,23.5,"cardamom - 3 to 5, cinnamon sticks - few about ½ tablespoon, cumin seeds - ½ teaspoon, mustard seeds - ¼ teaspoon optional"
Mutton Boti Curry Recipe | Goat Intestine Gravy | Sri Lankan Babath,13,4,30.8,"cardamom - 4 or 5, crushed cinnamon - ½ tablespoon, ginger - 1 tablespoon, mustard seeds - ¼ teaspoon"
Spicy Beef Oxtail Curry Recipe without Wine or Coconut (KETO),12,3,25.0,"ginger paste - ½ tablespoon, mustard seeds - ½ teaspoon, water - as you want"
How to Cook Raw Shrimp with Shell on? | KETO Spicy Prawn Curry,12,3,25.0,"fenugreek seeds - ¾ teaspoon, shrimp - 250g, thin tamarind juice - 100ml"
Best Fish Stew Recipe without Tomatoes | KETO Friendly,16,3,18.8,"cumin seeds - ¼ teaspoon, mustard seeds - ¼ teaspoon, water - 100ml"
Make Beef Stew without Potatoes & Tomatoes | KETO,15,3,20.0,"cardamom - 5 or 6, cinnamon - 1 tablespoon, cumin seeds - ½ teaspoon"
Spicy Eggplant Tomato Curry Coconut Milk | KETO,12,3,25.0,"eggplant - 250g, fenugreek seeds - ¼ teaspoon, semi-thick tamarind juice - 50ml"
Whole Fish Fry with Bread Crumbs Recipe | Deep Fry Meen Poriyal,9,3,33.3,"breadcrumbs - as you need i used 100g, thin tamarind juice - 100ml, water - as you need i used 150ml"
Best Tin Fish Curry Recipe without Potatoes (Easy & Spicy),12,3,25.0,"fenugreek seeds - 2 or 3 pinch, mustard seeds - ¼ teaspoon, thin tamarind juice - 150ml"
Easy Idli Dosa Batter (How To Make Idli & Dosa With Same Batter Homemade),4,3,75.0,"idli rice/parboiled rice - 750g, split skinned black gram/urad dal - 250g, water - as you need"
Make Beef Rolls Recipe Homemade | Crispy | Sri Lankan,16,3,18.8,"breadcrumbs - 250g, lemon - ½, spring roll wrapper - 50 6” or 150mm square sheet"
Meen Theeyal Recipe | Whole Fish Dish without Coconut,12,3,25.0,"fenugreek seeds - ½ teaspoon, thin tamarind juice - 200ml, water - as you need"
Spicy Egg Curry Recipe for Rice | Simple Muttai Kuzhambu,11,3,27.3,"eggs - 3, fenugreek seeds - ½ teaspoon, thin tamarind juice - 100ml"
Squid Ink Sodhi Recipe Sri Lanka (Kanava/Cuttlefish Ink),11,3,27.3,"fenugreek seeds - ¼ teaspoon, squid ink - 3 or 4 portions, water - 700ml"
How To Make Spicy Crab Curry Recipe (Easy & Tasty Nandu Kuzhambu),12,3,25.0,"crab - 700g before clean, fenugreek seeds - ¾ teaspoon, thin tamarind juice - 200ml"
Make Fish Samosa Recipe Without Peas (Easy & Tasty),14,3,21.4,"mustard seeds - ½ teaspoon, spring roll paper - 20 sheets, water - as you wish"
Simple Bitter Gourd Recipe Curry for Rice | Pavakkai Kulambu,14,3,21.4,"fenugreek seeds - ¼ teaspoon, tamarind juice - 100ml, water - as you need"
How to Make Long Beans Curry | Thick & Spicy Snake Beans Recipe,11,3,27.3,"fenugreek seeds - ¼ teaspoon, mustard seeds - ¼ teaspoon, thin tamarind juice - 100ml"
How To Make Tapioca Curry Spicy (Cassava/Manioc/Maravalli Kizhangu),10,3,30.0,"tamarind juice - 50ml, tapioca/cassava/manioc - 500g, water - 250ml"
Spicy Drumstick Curry Recipe | Murungakkai Kuzhambu,13,3,23.1,"cumin seeds - ¼ teaspoon, mustard seeds - ½ teaspoon, tamarind juice - 100ml"
"Easy Beef Stew with Potatoes Recipe (No Wine, Tomato & Carrot)",15,3,20.0,"cardamom - 10 to 12, cinnamon - 1 ½ tablespoon, cumin seeds - ¾ teaspoon"
Simple Cabbage Stir Fry Recipe with Coconut Step by Step,12,3,25.0,"cabbage - 250g, cumin seeds - ¼ teaspoon, mustard seeds - ¼ teaspoon"
Dal Curry Recipe Sri Lanka | Parippu/Dhal Curry for Rice,11,3,27.3,"cumin seeds - ¼ teaspoon, dal/dhal - 100g, water - 350ml"
How To Make Ulundu Vadai Recipe With Pictures (Best & Soft),8,3,37.5,"cold water - 30ml to 50ml, split skinned black gram/urad dal - 250g, water - as you need"
Sri Lankan Spicy Prawn Curry | Shrimp Curry Recipe with Coconut Milk,13,3,23.1,"fenugreek seeds - 1 teaspoon, mustard seeds - ½ teaspoon, thick tamarind juice - 50ml to 75ml"
Spicy Soya Meat Curry Recipe with Coconut Milk | Vegan,12,3,25.0,"mustard seeds - ½ teaspoon, soya meat packet - 90g, water - 300ml"
Make Vegetable Fried Rice without Soy Sauce & Egg,12,3,25.0,"basmati rice - 350g, ginger paste - ¼ teaspoon, soy meat - 25g optional"
How to Make Onion Achcharu in Jaffna? (Best & Simple),13,3,23.1,"dates - 200g, mustard seeds - 50g, vinegar - 300ml"
Make Sri Lankan Pumpkin Curry Recipe | Poosanikai Kootu,14,3,21.4,"cumin seeds - ½ teaspoon, mustard seeds - ½ teaspoon, water - 200ml"
Easy Sri Lankan Chickpea Breakfast | Simple Vegan Kadalai Recipe,8,3,37.5,"chickpeas - 250g, mustard seeds - ½ teaspoon, water - as needed"
Sri Lankan Cassava Curry with Coconut Milk Recipe,10,3,30.0,"fenugreek seeds - ¼ teaspoon, tapioca/cassava - 1250g, water - 600ml"
Simple Agathi Keerai Sodhi Recipe (Healthy | KETO),8,3,37.5,"agathi keerai - 75g, thick tamarind juice - 50ml, water - 300ml"
Easy Fish Head Curry Spicy Recipe without Oil,10,2,20.0,"fenugreek seeds - ¼ teaspoon, thin tamarind juice - 200ml"
Healthy Fish Curry without Oil & Red Chili | Easy Recipe,14,2,14.3,"coriander seeds - ½ tablespoon, cumin seeds/powder - ¼ teaspoon"
Pazhaya Soru Kanji | Neeragaram | Leftover Rice Recipe,7,2,28.6,"pazhaya soru/leftover rice - 2 cups, water - 500ml"
Ash Gourd Curry Recipe (Puhul/Wax Gourd/Winter Melon),11,2,18.2,"mustard seeds - ¼ teaspoon, water - 150ml"
How to Make Sugar Murukku in Jaffna Style (Seeni Murukku),9,2,22.2,"sesame seeds - 100g, water - 5 tablespoons"
How to Make Panangai Paniyaram | Palmyra Fruit Recipe,5,2,40.0,"ripe palmyra fruit juice - 1000ml 3 palmyra fruits, water - as you want"
Whole Wheat Flour String Hoppers Recipe (Atta Flour Idiyappam),4,2,50.0,"hot water - 225ml, normal water - 175ml"
Sri Lankan Dodol Recipe without Sugar | Coconut & Jaggery Sweet,6,2,33.3,"jaggery - 1000g, sago - 100g"
How To Make Kothu Roti At Home | Easy Beef Koththu Parotta Recipe,10,2,20.0,"eggs - 7, parotta/roti - 15"
Easy Chicken and Egg Soup Recipe with Cornstarch (No Broth),9,2,22.2,"cornstarch - 150g, water - 4 liters"
Easy Pork Curry with Coconut Milk Recipe (Spicy & Tasty),12,2,16.7,"mustard seeds - ¼ teaspoon, water - 400ml"
Best Deviled Chicken Recipe Sri Lankan (Simple & Tasty),17,2,11.8,"ginger - ¾ tablespoon, ginger paste - ½ tablespoon"
Deviled Beef Recipe Sri Lanka | Easy & Tasty Beef Fry,15,2,13.3,"ordinary vinegar - 3 tablespoons, water - as you need i used 130ml"
Sri Lankan Spicy Mutton Curry Recipe without Tomato (KETO),10,2,20.0,"crushed ginger - 1 ½ tablespoon, fenugreek seeds - 1 ½ teaspoon"
Spicy Tinned Fish Sandwich Toast Recipe with Potato Masala,14,2,14.3,"mustard seeds - ½ teaspoon, water - 100ml"
Fish Curry Recipe Without Tomato And Oil (Healthy & Easy Cooking),11,2,18.2,"fenugreek seeds - ¼ teaspoon, tamarind juice - 150ml"
Unique Ash Plantain Fry Dish | Vazhakkai Sambal | Jaffna,11,2,18.2,"mustard seeds - 1 teaspoon, vinegar - 2 tablespoons"
Green Moong Dal Recipe With Coconut | Green Gram Curry For Chapathi (Payaru),12,2,16.7,"mustard seeds - ¼ teaspoon, water - 400ml + 100ml"
Spicy Banana Pepper Curry Recipe | Kari Milagai Puli Kuzhambu,11,2,18.2,"mustard seeds - ¼ teaspoon, thick tamarind juice - 50ml"
Simple Eggplant Milk Curry Recipe (Kathirikai Paal Curry),9,2,22.2,"eggplant - 250g, water - 150ml"
Make Potato Curry for Poori/Chapati Sri Lankan Style,12,2,16.7,"mustard seeds - ¼ teaspoon, water - 250ml"
Make Simple Banana Flower Recipe | Vazhaipoo Fry | KETO,9,2,22.2,"banana flower - 500g, mustard seeds - ¼ teaspoon"
Spicy Elephant Foot Yam Curry Recipe | Karunai Kizhangu,12,2,16.7,"mustard seeds - ¼ teaspoon, thin tamarind juice - 100ml"
Easy Sri Lankan Roasted Curry Powder Recipe Homemade,7,2,28.6,"coriander seeds - 400g, cumin seeds - 60g"
Fenugreek Seed Curry Recipe | Vendhaya Kuzhambu with Coconut,10,2,20.0,"fenugreek seeds - 1 ½ tablespoon, tamarind juice - 50ml"
How to Make Vegetable Rava Upma | Easy & Healthy Breakfast,13,2,15.4,"mustard seeds - ¼ teaspoon, toasted semolina/sooji/rava - 250g"
Make Jackfruit Seed Fry Recipe | Crispy & Easy Vegan Dish,5,1,20.0,jackfruit seeds - 250g
Simple Bitter Gourd Fry with Curd Sambol Recipe (KETO),8,1,12.5,curd - 2 tablespoons
Make Tomato Sodhi Recipe | Easy & Quick Vegan Sothi | KETO,10,1,10.0,fenugreek seeds - ¼ teaspoon
Green Chilli Coconut Sambal (Pol Sambol) Recipe | KETO,6,1,16.7,thick tamarind juice - 1 ½ tablespoon
Ponnanganni Keerai Varai With Grated Coconut | Alternanthera Sessilis Recipe,8,1,12.5,ponnanganni keerai/alternanthera sessilis - 125g
Tasty & Spicy Beef Curry Recipe with Coconut & Tomato (KETO),12,1,8.3,water - 250ml
Simple Nutella Brownie Recipe with 4 Ingredients (No Butter),4,1,25.0,nutella - 400g
Best Masala Dosa Filling Recipe | Spicy | Homemade,10,1,10.0,mustard seeds - ¼ teaspoon
Make Seeni Sambol Recipe | Sri Lankan | Quick & Easy,6,1,16.7,thin tamarind juice - 100ml
Okra Tomato Coconut Curry | Easy Lady’s Finger Milk Curry Recipe,8,1,12.5,okra/ladies finger - 125g
Radish Curry Sri Lankan Recipe | Mullangi Curry for Rice,9,1,11.1,radish - 150g
Ammikallu Red Coconut Sambol | Jaffna Traditional Pol Sambal,7,1,14.3,water - 1 or 2 teaspoons
Sri Lankan Cabbage Potato Curry Recipe with Coconut Milk,9,1,11.1,cabbage - 1kg
Best Bitter Gourd Sambol Recipe | Pavakkai/Karawila Fried Salad,9,1,11.1,very thick tamarind juice - 2 tablespoons
Sri Lankan Style Fish Cutlet Recipe | Step by Step with Pictures,14,1,7.1,crushed ginger - ½ tablespoon
Green Bean Coconut Milk Curry | Sri Lankan Bonchi Recipe,9,1,11.1,water - 75ml
Make Mixed Vegetable Roti Recipe (Easy | Tasty | Vegan),12,1,8.3,water - 400ml
Easy Tomato Chutney Recipe for Dosa/Idli/Chapati/Paratha,8,1,12.5,mustard seeds - 1 teaspoon
Pennywort Salad Recipe with Carrot | Gotu Kola/Vallarai Sambal,7,1,14.3,pennywort/centella asiatica/gotu kola/vallarai - 50g
Drumstick Leaves Stir Fry | Moringa Leaf Coconut Recipe,9,1,11.1,mustard seeds - ¼ teaspoon
How to Cook Mutton Blood Fry? | Goat Blood Poriyal Jaffna,10,1,10.0,mustard seeds - 1 teaspoon
Sri Lankan Spinach Curry Recipe | Keerai Curry | KETO,8,1,12.5,spinach - 2 bunches about 1kg after clean
Easy Fish Egg Fry Recipe Sri Lankan | Grey Mullet Fish Egg Fry,9,1,11.1,water - 300ml
Fish Curry Without Tamarind And Chili Powder (Sprat Fish Sothi With Tomatoes),10,1,10.0,water - 150ml
Sri Lankan Fish Sothi Recipe with Tomato | KETO | Simple Meen Sothi,11,1,9.1,fenugreek seeds - ¼ teaspoon
Best & Simple Chicken Fry Recipe with Pictures (Yummy),7,1,14.3,water - 100ml
Thick & Spicy Potato Curry for Chapathi (with Maldives Dry Fish),14,1,7.1,mustard seeds - ¼ teaspoon
Good Whole Roast Chicken Recipe Sri Lankan Style With Lime Garlic,10,1,10.0,ginger paste - ¾ tablespoon
Simple Red Rice Flour Puttu Recipe (Step by Step Pictures),4,1,25.0,hot water - 700ml
Tasty Prawn Varai Recipe | Unique Shrimp (Eral) Dish | KETO,9,1,11.1,water - 50ml
Make String Hoppers Homemade Recipe (Red Rice Flour + Plain Flour),4,1,25.0,water - 600ml
How to Make White Puttu | All-Purpose Flour Puttu Sri Lankan,4,1,25.0,hot water - 625ml
How to Make Soft Chapati Roti without Oil or Butter (Quick & Easy),3,1,33.3,water - 350ml
Easy Vanilla Butter Cake Recipe without Milk Homemade,6,1,16.7,vanilla extract - 25ml
Sri Lankan Milk Tea,1,1,100.0,4tsploose leaf tea/ teapreferably ceylon tea; 1⁄2cupswater; 21⁄2cupsfresh milk; 3tspsugaradjust to your preference
Air-Fried Black Pepper Chicken,1,1,100.0,1tbspblack peppercorns; 1⁄2tspcumin seeds; 1⁄4tspfennel seeds; 2pieces of cinnamon 2 inch
Sri Lankan Beetroot Curry,1,1,100.0,2medium beetroots
Sri Lankan Chicken kottu,1,1,100.0,2godamba roti piecescheck description
