recipe_title,calories,included_tokens
Easy Vanilla Butter Cake Recipe without Milk Homemade,3740.1,500 g Butter | 10 pcs Egg
Make Best Nescafe Cake Recipe | Easy | Homemade,3612.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 200 g Icing sugar
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),3418.9,250 g Butter | 250 g Sugar | 5 pcs Egg | 150 g Icing sugar
Easy Vanilla Butter Cake Recipe without Milk Homemade,3740.1,500 g Butter | 10 pcs Egg
Make Best Nescafe Cake Recipe | Easy | Homemade,3612.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 200 g Icing sugar
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),3418.9,250 g Butter | 250 g Sugar | 5 pcs Egg | 150 g Icing sugar
Easy Vanilla Butter Cake Recipe without Milk Homemade,3740.1,500 g Butter | 10 pcs Egg
Make Best Nescafe Cake Recipe | Easy | Homemade,3612.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 200 g Icing sugar
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),3418.9,250 g Butter | 250 g Sugar | 5 pcs Egg | 150 g Icing sugar
How to Make Onion Achcharu in Jaffna? (Best & Simple),2619.4,500 g Shallots/Small Onion | 200 g Carrot | 200 g Butter Bonchi | 200 g Dates | 50 g Sugar
Easy Vanilla Butter Cake Recipe without Milk Homemade,3740.1,500 g Butter | 10 pcs Egg
Make Best Nescafe Cake Recipe | Easy | Homemade,3612.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 200 g Icing sugar
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),3418.9,250 g Butter | 250 g Sugar | 5 pcs Egg | 150 g Icing sugar
How to Make Onion Achcharu in Jaffna? (Best & Simple),2724.4,500 g Shallots/Small Onion | 200 g Carrot | 200 g Butter Bonchi | 200 g Dates | 50 g Sugar | 300 ml Vinegar
Easy Vanilla Butter Cake Recipe without Milk Homemade,7551.1,500 g Butter | 500 g All purpose flour | 500 g G ranulated sugar | 10 pcs Egg | 25 ml Vanilla extract
Sri Lankan Dodol Recipe without Sugar | Coconut & Jaggery Sweet,3351.7,500 ml Thick coconut milk | 1250 ml Thin coconut milk | 500 g Jaggery | 100 g Toasted white rice flour | 50 g Sago
Make Best Nescafe Cake Recipe | Easy | Homemade,4512.4,250 g Butter | 250 g Plain flour | 250 g Sugar | 5 pcs Egg | 200 g Icing sugar
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),4438.9,250 g Butter | 200 g Plain flour | 250 g Sugar | 5 pcs Egg | 50 g Cocoa powder | 50 g Roasted cashew nuts | 150 g Icing sugar
How to Make Onion Achcharu in Jaffna? (Best & Simple),2724.4,500 g Shallots/Small Onion | 200 g Carrot | 200 g Butter Bonchi | 200 g Dates | 50 g Sugar | 300 ml Vinegar
Easy Vanilla Butter Cake Recipe without Milk Homemade,7551.1,500 g Butter | 500 g All purpose flour | 500 g G ranulated sugar | 10 pcs Egg | 25 ml Vanilla extract
Sri Lankan Dodol Recipe without Sugar | Coconut & Jaggery Sweet,3351.7,500 ml Thick coconut milk | 1250 ml Thin coconut milk | 500 g Jaggery | 100 g Toasted white rice flour | 50 g Sago
Make Best Nescafe Cake Recipe | Easy | Homemade,4512.4,250 g Butter | 250 g Plain flour | 250 g Sugar | 5 pcs Egg | 200 g Icing sugar
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),4438.9,250 g Butter | 200 g Plain flour | 250 g Sugar | 5 pcs Egg | 50 g Cocoa powder | 50 g Roasted cashew nuts | 150 g Icing sugar
How to Make Onion Achcharu in Jaffna? (Best & Simple),2998.9,500 g Shallots/Small Onion | 200 g Carrot | 200 g Butter Bonchi | 200 g Dates | 50 g Sugar | 300 ml Vinegar
Easy Vanilla Butter Cake Recipe without Milk Homemade,7572.9,500 g Butter | 500 g All purpose flour | 500 g G ranulated sugar | 10 pcs Egg | 25 ml Vanilla extract
Sri Lankan Dodol Recipe without Sugar | Coconut & Jaggery Sweet,3351.7,500 ml Thick coconut milk | 1250 ml Thin coconut milk | 500 g Jaggery | 100 g Toasted white rice flour | 50 g Sago
Make Best Nescafe Cake Recipe | Easy | Homemade,3612.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 200 g Icing sugar
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),3844.9,250 g Butter | 250 g Sugar | 5 pcs Egg | 50 g Cocoa powder | 50 g Roasted cashew nuts | 150 g Icing sugar
How to Make Onion Achcharu in Jaffna? (Best & Simple),2998.9,500 g Shallots/Small Onion | 200 g Carrot | 200 g Butter Bonchi | 200 g Dates | 50 g Sugar | 300 ml Vinegar
Easy Vanilla Butter Cake Recipe without Milk Homemade,7572.9,500 g Butter | 500 g All purpose flour | 500 g G ranulated sugar | 10 pcs Egg | 25 ml Vanilla extract
Sri Lankan Dodol Recipe without Sugar | Coconut & Jaggery Sweet,3351.7,500 ml Thick coconut milk | 1250 ml Thin coconut milk | 500 g Jaggery | 100 g Toasted white rice flour | 50 g Sago
Make Best Nescafe Cake Recipe | Easy | Homemade,3612.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 200 g Icing sugar
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),3888.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 50 g Cocoa powder | 50 g Roasted cashew nuts | 150 g Icing sugar
How to Make Onion Achcharu in Jaffna? (Best & Simple),2998.9,500 g Shallots/Small Onion | 200 g Carrot | 200 g Butter Bonchi | 200 g Dates | 50 g Sugar | 300 ml Vinegar
Easy Vanilla Butter Cake Recipe without Milk Homemade,7572.9,500 g Butter | 500 g All purpose flour | 500 g G ranulated sugar | 10 pcs Egg | 25 ml Vanilla extract
Sri Lankan Dodol Recipe without Sugar | Coconut & Jaggery Sweet,3468.5,500 ml Thick coconut milk | 1250 ml Thin coconut milk | 500 g Jaggery | 100 g Toasted white rice flour | 50 g Crushed roasted mung bean | 50 g Sago
Make Best Nescafe Cake Recipe | Easy | Homemade,3612.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 200 g Icing sugar
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),3888.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 50 g Cocoa powder | 50 g Roasted cashew nuts | 150 g Icing sugar
How to Make Onion Achcharu in Jaffna? (Best & Simple),2998.9,500 g Shallots/Small Onion | 200 g Carrot | 200 g Butter Bonchi | 200 g Dates | 50 g Sugar | 300 ml Vinegar
Easy Vanilla Butter Cake Recipe without Milk Homemade,7572.9,500 g Butter | 500 g All purpose flour | 500 g G ranulated sugar | 10 pcs Egg | 25 ml Vanilla extract
Sri Lankan Dodol Recipe without Sugar | Coconut & Jaggery Sweet,3468.5,500 ml Thick coconut milk | 1250 ml Thin coconut milk | 500 g Jaggery | 100 g Toasted white rice flour | 50 g Crushed roasted mung bean | 50 g Sago
Make Best Nescafe Cake Recipe | Easy | Homemade,3612.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 200 g Icing sugar
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),3888.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 50 g Cocoa powder | 50 g Roasted cashew nuts | 150 g Icing sugar
How to Make Onion Achcharu in Jaffna? (Best & Simple),2998.9,500 g Shallots/Small Onion | 200 g Carrot | 200 g Butter Bonchi | 200 g Dates | 50 g Sugar | 300 ml Vinegar
Easy Vanilla Butter Cake Recipe without Milk Homemade,7572.9,500 g Butter | 500 g All purpose flour | 500 g G ranulated sugar | 10 pcs Egg | 25 ml Vanilla extract
Sri Lankan Dodol Recipe without Sugar | Coconut & Jaggery Sweet,3468.5,500 ml Thick coconut milk | 1250 ml Thin coconut milk | 500 g Jaggery | 100 g Toasted white rice flour | 50 g Crushed roasted mung bean | 50 g Sago
Make Best Nescafe Cake Recipe | Easy | Homemade,3612.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 200 g Icing sugar
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),3888.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 50 g Cocoa powder | 50 g Roasted cashew nuts | 150 g Icing sugar
How to Make Onion Achcharu in Jaffna? (Best & Simple),2998.9,500 g Shallots/Small Onion | 200 g Carrot | 200 g Butter Bonchi | 200 g Dates | 50 g Sugar | 300 ml Vinegar
Easy Vanilla Butter Cake Recipe without Milk Homemade,7572.9,500 g Butter | 500 g All purpose flour | 500 g G ranulated sugar | 10 pcs Egg | 25 ml Vanilla extract
Sri Lankan Dodol Recipe without Sugar | Coconut & Jaggery Sweet,3468.5,500 ml Thick coconut milk | 1250 ml Thin coconut milk | 500 g Jaggery | 100 g Toasted white rice flour | 50 g Crushed roasted mung bean | 50 g Sago
Make Best Nescafe Cake Recipe | Easy | Homemade,3612.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 200 g Icing sugar
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),3888.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 50 g Cocoa powder | 50 g Roasted cashew nuts | 150 g Icing sugar
How to Make Onion Achcharu in Jaffna? (Best & Simple),2998.9,500 g Shallots/Small Onion | 200 g Carrot | 200 g Butter Bonchi | 200 g Dates | 50 g Sugar | 300 ml Vinegar
Easy Vanilla Butter Cake Recipe without Milk Homemade,7572.9,500 g Butter | 500 g All purpose flour | 500 g G ranulated sugar | 10 pcs Egg | 25 ml Vanilla extract
Sri Lankan Dodol Recipe without Sugar | Coconut & Jaggery Sweet,3468.5,500 ml Thick coconut milk | 1250 ml Thin coconut milk | 500 g Jaggery | 100 g Toasted white rice flour | 50 g Crushed roasted mung bean | 50 g Sago
Make Best Nescafe Cake Recipe | Easy | Homemade,3612.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 200 g Icing sugar
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),3888.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 50 g Cocoa powder | 50 g Roasted cashew nuts | 150 g Icing sugar
How to Make Onion Achcharu in Jaffna? (Best & Simple),2998.9,500 g Shallots/Small Onion | 200 g Carrot | 200 g Butter Bonchi | 200 g Dates | 50 g Sugar | 300 ml Vinegar
Easy Vanilla Butter Cake Recipe without Milk Homemade,7572.9,500 g Butter | 500 g All purpose flour | 500 g G ranulated sugar | 10 pcs Egg | 25 ml Vanilla extract
Sri Lankan Dodol Recipe without Sugar | Coconut & Jaggery Sweet,3468.5,500 ml Thick coconut milk | 1250 ml Thin coconut milk | 500 g Jaggery | 100 g Toasted white rice flour | 50 g Crushed roasted mung bean | 50 g Sago
Make Best Nescafe Cake Recipe | Easy | Homemade,3612.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 200 g Icing sugar
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),3888.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 50 g Cocoa powder | 50 g Roasted cashew nuts | 150 g Icing sugar
How to Make Onion Achcharu in Jaffna? (Best & Simple),2998.9,500 g Shallots/Small Onion | 200 g Carrot | 200 g Butter Bonchi | 200 g Dates | 50 g Sugar | 300 ml Vinegar
Easy Vanilla Butter Cake Recipe without Milk Homemade,7572.9,500 g Butter | 500 g All purpose flour | 500 g G ranulated sugar | 10 pcs Egg | 25 ml Vanilla extract
Sri Lankan Dodol Recipe without Sugar | Coconut & Jaggery Sweet,3468.5,500 ml Thick coconut milk | 1250 ml Thin coconut milk | 500 g Jaggery | 100 g Toasted white rice flour | 50 g Crushed roasted mung bean | 50 g Sago
Make Best Nescafe Cake Recipe | Easy | Homemade,3612.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 200 g Icing sugar
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),3888.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 50 g Cocoa powder | 50 g Roasted cashew nuts | 150 g Icing sugar
How to Make Onion Achcharu in Jaffna? (Best & Simple),2998.9,500 g Shallots/Small Onion | 200 g Carrot | 200 g Butter Bonchi | 200 g Dates | 50 g Sugar | 300 ml Vinegar
Easy Vanilla Butter Cake Recipe without Milk Homemade,7572.9,500 g Butter | 500 g All purpose flour | 500 g G ranulated sugar | 10 pcs Egg | 25 ml Vanilla extract
Sri Lankan Dodol Recipe without Sugar | Coconut & Jaggery Sweet,3353.5,500 ml Thick coconut milk | 1250 ml Thin coconut milk | 500 g Jaggery | 100 g Toasted white rice flour | 50 g Crushed roasted mung bean | 50 g Sago
Make Best Nescafe Cake Recipe | Easy | Homemade,3612.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 200 g Icing sugar
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),3888.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 50 g Cocoa powder | 50 g Roasted cashew nuts | 150 g Icing sugar
How to Make Onion Achcharu in Jaffna? (Best & Simple),2998.9,500 g Shallots/Small Onion | 200 g Carrot | 200 g Butter Bonchi | 200 g Dates | 50 g Sugar | 300 ml Vinegar
Easy Vanilla Butter Cake Recipe without Milk Homemade,7572.9,500 g Butter | 500 g All purpose flour | 500 g G ranulated sugar | 10 pcs Egg | 25 ml Vanilla extract
Sri Lankan Dodol Recipe without Sugar | Coconut & Jaggery Sweet,3353.5,500 ml Thick coconut milk | 1250 ml Thin coconut milk | 500 g Jaggery | 100 g Toasted white rice flour | 50 g Crushed roasted mung bean | 50 g Sago
Make Best Nescafe Cake Recipe | Easy | Homemade,3612.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 200 g Icing sugar
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),3888.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 50 g Cocoa powder | 50 g Roasted cashew nuts | 150 g Icing sugar
How to Make Onion Achcharu in Jaffna? (Best & Simple),2998.9,500 g Shallots/Small Onion | 200 g Carrot | 200 g Butter Bonchi | 200 g Dates | 50 g Sugar | 300 ml Vinegar
Easy Vanilla Butter Cake Recipe without Milk Homemade,7572.9,500 g Butter | 500 g All purpose flour | 500 g G ranulated sugar | 10 pcs Egg | 25 ml Vanilla extract
Sri Lankan Dodol Recipe without Sugar | Coconut & Jaggery Sweet,3353.5,500 ml Thick coconut milk | 1250 ml Thin coconut milk | 500 g Jaggery | 100 g Toasted white rice flour | 50 g Crushed roasted mung bean | 50 g Sago
Make Best Nescafe Cake Recipe | Easy | Homemade,3612.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 200 g Icing sugar
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),3888.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 50 g Cocoa powder | 50 g Roasted cashew nuts | 150 g Icing sugar
How to Make Onion Achcharu in Jaffna? (Best & Simple),2968.6,500 g Shallots/Small Onion | 200 g Carrot | 200 g Butter Bonchi | 200 g Dates | 50 g Sugar | 300 ml Vinegar
Easy Vanilla Butter Cake Recipe without Milk Homemade,6422.9,500 g Butter | 500 g All purpose flour | 500 g G ranulated sugar | 10 pcs Egg | 25 ml Vanilla extract
Sri Lankan Dodol Recipe without Sugar | Coconut & Jaggery Sweet,3353.5,500 ml Thick coconut milk | 1250 ml Thin coconut milk | 500 g Jaggery | 100 g Toasted white rice flour | 50 g Crushed roasted mung bean | 50 g Sago
Make Best Nescafe Cake Recipe | Easy | Homemade,3612.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 200 g Icing sugar
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),3888.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 50 g Cocoa powder | 50 g Roasted cashew nuts | 150 g Icing sugar
How to Make Onion Achcharu in Jaffna? (Best & Simple),2968.6,500 g Shallots/Small Onion | 200 g Carrot | 200 g Butter Bonchi | 200 g Dates | 50 g Sugar | 300 ml Vinegar
Easy Vanilla Butter Cake Recipe without Milk Homemade,6422.9,500 g Butter | 500 g All purpose flour | 500 g G ranulated sugar | 10 pcs Egg | 25 ml Vanilla extract
Sri Lankan Dodol Recipe without Sugar | Coconut & Jaggery Sweet,3353.5,500 ml Thick coconut milk | 1250 ml Thin coconut milk | 500 g Jaggery | 100 g Toasted white rice flour | 50 g Crushed roasted mung bean | 50 g Sago
Make Best Nescafe Cake Recipe | Easy | Homemade,3612.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 200 g Icing sugar
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),3888.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 50 g Cocoa powder | 50 g Roasted cashew nuts | 150 g Icing sugar
How to Make Onion Achcharu in Jaffna? (Best & Simple),2968.6,500 g Shallots/Small Onion | 200 g Carrot | 200 g Butter Bonchi | 200 g Dates | 50 g Sugar | 300 ml Vinegar
Easy Vanilla Butter Cake Recipe without Milk Homemade,6422.9,500 g Butter | 500 g All purpose flour | 500 g G ranulated sugar | 10 pcs Egg | 25 ml Vanilla extract
Sri Lankan Dodol Recipe without Sugar | Coconut & Jaggery Sweet,3353.5,500 ml Thick coconut milk | 1250 ml Thin coconut milk | 500 g Jaggery | 100 g Toasted white rice flour | 50 g Crushed roasted mung bean | 50 g Sago
Make Best Nescafe Cake Recipe | Easy | Homemade,3612.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 200 g Icing sugar
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),3888.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 50 g Cocoa powder | 50 g Roasted cashew nuts | 150 g Icing sugar
How to Make Onion Achcharu in Jaffna? (Best & Simple),2968.6,500 g Shallots/Small Onion | 200 g Carrot | 200 g Butter Bonchi | 200 g Dates | 50 g Sugar | 300 ml Vinegar
Easy Vanilla Butter Cake Recipe without Milk Homemade,6422.9,500 g Butter | 500 g All purpose flour | 500 g G ranulated sugar | 10 pcs Egg | 25 ml Vanilla extract
Sri Lankan Dodol Recipe without Sugar | Coconut & Jaggery Sweet,2972.3,500 ml Thick coconut milk | 1250 ml Thin coconut milk | 500 g Jaggery | 100 g Toasted white rice flour | 50 g Crushed roasted mung bean | 50 g Sago
Make Best Nescafe Cake Recipe | Easy | Homemade,3612.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 200 g Icing sugar
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),3888.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 50 g Cocoa powder | 50 g Roasted cashew nuts | 150 g Icing sugar
Sri Lankan Malay Pickle,2636.0,375gpitted Dates | 2cupWhite vinegar/coconut vinegar) | 100gpitted dates
How to Make Onion Achcharu in Jaffna? (Best & Simple),2968.6,500 g Shallots/Small Onion | 200 g Carrot | 200 g Butter Bonchi | 200 g Dates | 50 g Sugar | 300 ml Vinegar
Easy Vanilla Butter Cake Recipe without Milk Homemade,6422.9,500 g Butter | 500 g All purpose flour | 500 g G ranulated sugar | 10 pcs Egg | 25 ml Vanilla extract
Sri Lankan Dodol Recipe without Sugar | Coconut & Jaggery Sweet,2972.3,500 ml Thick coconut milk | 1250 ml Thin coconut milk | 500 g Jaggery | 100 g Toasted white rice flour | 50 g Crushed roasted mung bean | 50 g Sago
Make Best Nescafe Cake Recipe | Easy | Homemade,3612.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 200 g Icing sugar
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),3888.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 50 g Cocoa powder | 50 g Roasted cashew nuts | 150 g Icing sugar
Sri Lankan Malay Pickle,2636.0,375gpitted Dates | 2cupWhite vinegar/coconut vinegar) | 100gpitted dates
How to Make Onion Achcharu in Jaffna? (Best & Simple),2968.6,500 g Shallots/Small Onion | 200 g Carrot | 200 g Butter Bonchi | 200 g Dates | 50 g Sugar | 300 ml Vinegar
Easy Vanilla Butter Cake Recipe without Milk Homemade,7572.9,500 g Butter | 500 g All purpose flour | 500 g G ranulated sugar | 10 pcs Egg | 25 ml Vanilla extract
Sri Lankan Dodol Recipe without Sugar | Coconut & Jaggery Sweet,3353.5,500 ml Thick coconut milk | 1250 ml Thin coconut milk | 500 g Jaggery | 100 g Toasted white rice flour | 50 g Crushed roasted mung bean | 50 g Sago
Make Best Nescafe Cake Recipe | Easy | Homemade,3612.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 200 g Icing sugar
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),3888.5,250 g Butter | 250 g Sugar | 5 pcs Egg | 50 g Cocoa powder | 50 g Roasted cashew nuts | 150 g Icing sugar
Sri Lankan Malay Pickle,2636.0,375gpitted Dates | 2cupWhite vinegar/coconut vinegar) | 100gpitted dates
